data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2011,1,Barley and barley products,4705175,3668374,4705175,3668374
Pounds of Materials Used,Grain Products,2011,1,Wheat and wheat products,1210137,1409685,1210137,1409685
Pounds of Materials Used,Total Grain products,2011,1,Total Grain products,495141024,451788998,495141024,451788998
Pounds of Materials Used,Non-Grain Products,2011,1,Sugar and syrups,73793509,47308358,73793509,47308358
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (dry),6059066,4765924,6059066,4765924
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (used as extracts),296605,271405,296605,271405
Pounds of Materials Used,Non-Grain Products,2011,1,Other,7972930,10537742,7972930,10537742
Pounds of Materials Used,Total Non-Grain products,2011,1,Total Non-Grain products,88122110,62883429,88122110,62883429
Pounds of Materials Used,Total Used,2011,1,Total Used,583263134,514672427,583263134,514672427
Pounds of Materials Used,Grain Products,2011,2,Malt and malt products,307076591,305543380,629878499,635898552
Pounds of Materials Used,Grain Products,2011,2,Corn and corn products,53981943,54486996,112614617,111192158
Pounds of Materials Used,Grain Products,2011,2,Rice and rice products,54287863,55198940,162857353,114900285
Pounds of Materials Used,Grain Products,2011,2,Barley and barley products,4322047,3726630,9037725,7395772
Pounds of Materials Used,Grain Products,2011,2,Wheat and wheat products,955671,1683401,2166958,3097736
Pounds of Materials Used,Total Grain products,2011,2,Total Grain products,420624115,420639347,916555152,872484503
Pounds of Materials Used,Non-Grain Products,2011,2,Sugar and syrups,63374850,46718854,137168398,94027212
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (dry),7617974,4899463,13680934,9666186
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (used as extracts),275963,268589,572584,539994
Pounds of Materials Used,Non-Grain Products,2011,2,Other,7997916,9022834,15971404,19560576
Pounds of Materials Used,Total Non-Grain products,2011,2,Total Non-Grain products,79266703,60909740,167393320,123793968
Pounds of Materials Used,Total Used,2011,2,Total Used,499890818,481549087,1083948472,996278471
Pounds of Materials Used,Grain Products,2011,3,Malt and malt products,363234183,366733254,993661998,1002631806
Pounds of Materials Used,Grain Products,2011,3,Corn and corn products,61094976,60991969,173729653,172184127
Pounds of Materials Used,Grain Products,2011,3,Rice and rice products,62041512,59991160,224908567,174893727
Pounds of Materials Used,Grain Products,2011,3,Barley and barley products,11614373,10220654,20780427,18078778
Pounds of Materials Used,Grain Products,2011,3,Wheat and wheat products,5019351,2762670,7187604,5938978
Pounds of Materials Used,Total Grain products,2011,3,Total Grain products,503004395,500699707,1420268249,1373727416
Pounds of Materials Used,Non-Grain Products,2011,3,Sugar and syrups,74925793,61007512,212105554,155034724
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (dry),10736471,7932387,24423226,17604871
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (used as extracts),350949,320406,923533,860400
Pounds of Materials Used,Non-Grain Products,2011,3,Other,10489641,11678127,26481471,31238829
Pounds of Materials Used,Total Non-Grain products,2011,3,Total Non-Grain products,96502854,80938432,263933784,204738824
Pounds of Materials Used,Total Used,2011,3,Total Used,599507249,581638139,1684202033,1578466240
Pounds of Materials Used,Grain Products,2011,4,Malt and malt products,349781343,374018118,1343443341,1376649924
Pounds of Materials Used,Grain Products,2011,4,Corn and corn products,58628353,61273430,232358006,233457557
Pounds of Materials Used,Grain Products,2011,4,Rice and rice products,53392697,59803024,278301264,234696751
Pounds of Materials Used,Grain Products,2011,4,Barley and barley products,4768751,5030962,25549178,23109740
Pounds of Materials Used,Grain Products,2011,4,Wheat and wheat products,1816659,2247616,9004263,8186594
Pounds of Materials Used,Total Grain products,2011,4,Total Grain products,468387803,502373150,1888656052,1876100566
Pounds of Materials Used,Non-Grain Products,2011,4,Sugar and syrups,68297327,73040421,280402881,228075145
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (dry),9942341,8240399,34365567,25845270
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (used as extracts),330339,456519,1253872,1316919
Pounds of Materials Used,Non-Grain Products,2011,4,Other,10127397,11213037,36608868,42451866
Pounds of Materials Used,Total Non-Grain products,2011,4,Total Non-Grain products,88697404,92950376,352631188,297689200
Pounds of Materials Used,Total Used,2011,4,Total Used,557085207,595323526,2241287240,2173789766
Pounds of Materials Used,Grain Products,2011,5,Malt and malt products,352623620,399504457,1697746189,1776283019
Pounds of Materials Used,Grain Products,2011,5,Corn and corn products,50573951,62684555,282931982,296142112
Pounds of Materials Used,Grain Products,2011,5,Rice and rice products,62118962,69284131,340420276,303980882
Pounds of Materials Used,Grain Products,2011,5,Barley and barley products,5564462,4903020,31323312,28012760
Pounds of Materials Used,Grain Products,2011,5,Wheat and wheat products,1721632,2264521,10756446,10455915
Pounds of Materials Used,Total Grain products,2011,5,Total Grain products,472602627,538640684,2363178205,2414874688
Pounds of Materials Used,Non-Grain Products,2011,5,Sugar and syrups,66314234,76115769,346726296,304191444
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (dry),10076039,9080801,44467742,34927873
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (used as extracts),438895,396737,1699181,1713656
Pounds of Materials Used,Non-Grain Products,2011,5,Other,10565868,11525375,47297694,53977391
Pounds of Materials Used,Total Non-Grain products,2011,5,Total Non-Grain products,87395036,97118682,440190913,394810364
Pounds of Materials Used,Total Used,2011,5,Total Used,559997663,635759366,2803369118,2809685052
Pounds of Materials Used,Grain Products,2011,6,Malt and malt products,372541998,380521275,2071295858,2156804294
Pounds of Materials Used,Grain Products,2011,6,Corn and corn products,49399750,60811086,332332032,356953198
Pounds of Materials Used,Grain Products,2011,6,Rice and rice products,69701464,66627541,410453892,370610846
Pounds of Materials Used,Grain Products,2011,6,Barley and barley products,10363329,11280602,42085597,39293362
Pounds of Materials Used,Grain Products,2011,6,Wheat and wheat products,2305971,2896874,13092158,13352789
Pounds of Materials Used,Total Grain products,2011,6,Total Grain products,504312512,522137378,2869259537,2937014489
Pounds of Materials Used,Non-Grain Products,2011,6,Sugar and syrups,67178952,67266337,413899400,371457781
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (dry),10603566,10418215,55168523,45346088
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (used as extracts),338467,355258,2038458,2068914
Pounds of Materials Used,Non-Grain Products,2011,6,Other,11982901,12877498,59314575,66854889
Pounds of Materials Used,Total Non-Grain products,2011,6,Total Non-Grain products,90103886,90917308,530420956,485727672
Pounds of Materials Used,Total Used,2011,6,Total Used,594416398,613054686,3399680493,3422742161
Pounds of Materials Used,Grain Products,2011,7,Malt and malt products,350751002,384726834,2424169705,2541632782
Pounds of Materials Used,Grain Products,2011,7,Corn and corn products,47864835,58694301,380216079,415647499
Pounds of Materials Used,Grain Products,2011,7,Rice and rice products,69787950,68031711,480241892,438778557
Pounds of Materials Used,Grain Products,2011,7,Barley and barley products,6014579,5224206,50818308,44518051
Pounds of Materials Used,Grain Products,2011,7,Wheat and wheat products,1523087,1628102,14720613,14982132
Pounds of Materials Used,Total Grain products,2011,7,Total Grain products,475941453,518305154,3350166597,3455559021
Pounds of Materials Used,Non-Grain Products,2011,7,Sugar and syrups,62190400,76584550,476106844,448042331
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (dry),9514024,8297261,64788024,53664131
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (used as extracts),333313,369505,2372160,2438419
Pounds of Materials Used,Non-Grain Products,2011,7,Other,9659056,13378852,69709603,80233741
Pounds of Materials Used,Total Non-Grain products,2011,7,Total Non-Grain products,81696793,98630168,612976631,584378622
Pounds of Materials Used,Total Used,2011,7,Total Used,557638246,616935322,3963143228,4039937643
Pounds of Materials Used,Grain Products,2011,8,Malt and malt products,361924350,358726926,2787085795,2900309187
Pounds of Materials Used,Grain Products,2011,8,Corn and corn products,49085339,60424525,429301155,476073574
Pounds of Materials Used,Grain Products,2011,8,Rice and rice products,72428017,63192375,552680384,501970932
Pounds of Materials Used,Grain Products,2011,8,Barley and barley products,6775228,5276045,58323557,49971697
Pounds of Materials Used,Grain Products,2011,8,Wheat and wheat products,1749667,1379102,16528285,16376834
Pounds of Materials Used,Total Grain products,2011,8,Total Grain products,491962601,488998973,3843919176,3944702224
Pounds of Materials Used,Non-Grain Products,2011,8,Sugar and syrups,60003874,75815015,536119262,523858114
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (dry),7575266,7272871,72380105,60938386
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (used as extracts),324190,718808,2696353,3157284
Pounds of Materials Used,Non-Grain Products,2011,8,Other,9175477,9572674,79042512,89808240
Pounds of Materials Used,Total Non-Grain products,2011,8,Total Non-Grain products,77078807,93379368,690238232,677762024
Pounds of Materials Used,Total Used,2011,8,Total Used,569041408,582378341,4534157408,4622464248
Pounds of Materials Used,Grain Products,2011,9,Malt and malt products,312845217,329671455,3107159382,3230062247
Pounds of Materials Used,Grain Products,2011,9,Corn and corn products,47180399,77399155,476614073,553472829
Pounds of Materials Used,Grain Products,2011,9,Rice and rice products,55188865,54884345,607871709,556857888
Pounds of Materials Used,Grain Products,2011,9,Barley and barley products,32343039,14107767,92330824,64085240
Pounds of Materials Used,Grain Products,2011,9,Wheat and wheat products,2260859,2150923,18963972,18530387
Pounds of Materials Used,Total Grain products,2011,9,Total Grain products,449818379,478213645,4302939960,4423008591
Pounds of Materials Used,Non-Grain Products,2011,9,Sugar and syrups,61317581,69053125,598050404,592912039
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (dry),7462299,6437916,79901872,67378784
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (used as extracts),298977,300116,2995436,3457400
Pounds of Materials Used,Non-Grain Products,2011,9,Other,10334415,9180751,90288463,98989156
Pounds of Materials Used,Total Non-Grain products,2011,9,Total Non-Grain products,79413272,84971908,771236175,762737379
Pounds of Materials Used,Total Used,2011,9,Total Used,529231651,563185553,5074176135,5185745970
Pounds of Materials Used,Grain Products,2011,10,Malt and malt products,313380880,333230020,3420540262,3563292267
Pounds of Materials Used,Grain Products,2011,10,Corn and corn products,48090884,51427974,524704957,604900803
Pounds of Materials Used,Grain Products,2011,10,Rice and rice products,50132872,55450803,658004581,612308691
Pounds of Materials Used,Grain Products,2011,10,Barley and barley products,6773403,6203762,99104227,70289002
Pounds of Materials Used,Grain Products,2011,10,Wheat and wheat products,1555618,1053279,20519590,19583666
Pounds of Materials Used,Total Grain products,2011,10,Total Grain products,419933657,447365838,4722873617,4870374429
Pounds of Materials Used,Non-Grain Products,2011,10,Sugar and syrups,65478836,67265699,663529240,660177738
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (dry),7238838,9244763,87140710,76623547
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (used as extracts),306588,293914,3302024,3751314
Pounds of Materials Used,Non-Grain Products,2011,10,Other,9544745,8888902,99833208,107878058
Pounds of Materials Used,Total Non-Grain products,2011,10,Total Non-Grain products,82569007,85693278,853805182,848430657
Pounds of Materials Used,Total Used,2011,10,Total Used,502502664,533059116,5576678799,5718805086
Pounds of Materials Used,Grain Products,2011,11,Malt and malt products,303152329,298251207,3725087716,3861508317
Pounds of Materials Used,Grain Products,2011,11,Corn and corn products,53879230,47348859,578634062,652254266
Pounds of Materials Used,Grain Products,2011,11,Rice and rice products,43496310,53779401,701501477,666087792
Pounds of Materials Used,Grain Products,2011,11,Barley and barley products,5909830,5235825,110447469,75533654
Pounds of Materials Used,Grain Products,2011,11,Wheat and wheat products,1297888,1097679,22221291,20682123
Pounds of Materials Used,Total Grain products,2011,11,Total Grain products,407735587,405712971,5137892015,5276066152
Pounds of Materials Used,Non-Grain Products,2011,11,Sugar and syrups,55627592,59184495,719192663,719362563
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (dry),8455615,7727370,95677718,84351150
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (used as extracts),290356,281893,3592971,4033338
Pounds of Materials Used,Non-Grain Products,2011,11,Other,8504780,9117383,108413304,116995511
Pounds of Materials Used,Total Non-Grain products,2011,11,Total Non-Grain products,72878343,76311141,926876656,924742562
Pounds of Materials Used,Total Used,2011,11,Total Used,480613930,482024112,6064768671,6200808714
Pounds of Materials Used,Grain Products,2011,12,Malt and malt products,293640890,285382073,4021632730,4147040380
Pounds of Materials Used,Grain Products,2011,12,Corn and corn products,50507994,48503335,629143328,700757601
Pounds of Materials Used,Grain Products,2011,12,Rice and rice products,46841203,47504543,748353836,713595821
Pounds of Materials Used,Grain Products,2011,12,Barley and barley products,11793946,12815197,123144856,88354008
Pounds of Materials Used,Grain Products,2011,12,Wheat and wheat products,1612682,1588739,23849805,22279062
Pounds of Materials Used,Total Grain products,2011,12,Total Grain products,404396715,395793887,5546124555,5672026872
Pounds of Materials Used,Non-Grain Products,2011,12,Sugar and syrups,52413557,49709103,771622081,769088843
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (dry),11606511,6540100,107566361,90902672
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (used as extracts),238892,255382,3831826,4288750
Pounds of Materials Used,Non-Grain Products,2011,12,Other,8090886,8217736,116335663,125562163
Pounds of Materials Used,Total Non-Grain products,2011,12,Total Non-Grain products,72349846,64722321,999355931,989842428
Pounds of Materials Used,Total Used,2011,12,Total Used,476746561,460516208,6545480486,6661869300
Pounds of Materials Used,Grain Products,2012,1,Malt and malt products,315214803,323332497,315214803,323332497
Pounds of Materials Used,Grain Products,2012,1,Corn and corn products,61859978,58875604,61859978,58875604
Pounds of Materials Used,Grain Products,2012,1,Rice and rice products,63568058,108570592,63568058,108570592
Pounds of Materials Used,Grain Products,2012,1,Barley and barley products,5391781,5265988,5391781,5265988
Pounds of Materials Used,Grain Products,2012,1,Wheat and wheat products,1319508,1232206,1319508,1232206
Pounds of Materials Used,Total Grain products,2012,1,Total Grain products,447354128,497276887,447354128,497276887
Pounds of Materials Used,Non-Grain Products,2012,1,Sugar and syrups,62988309,73785535,62988309,73785535
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (dry),9562820,6073312,9562820,6073312
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (used as extracts),293488,296621,293488,296621
Pounds of Materials Used,Non-Grain Products,2012,1,Other,8994300,8177092,8994300,8177092
Pounds of Materials Used,Total Non-Grain products,2012,1,Total Non-Grain products,81838917,88332560,81838917,88332560
Pounds of Materials Used,Total Used,2012,1,Total Used,529193045,585609447,529193045,585609447
Pounds of Materials Used,Grain Products,2012,2,Malt and malt products,320430694,307475210,636820934,630807707
Pounds of Materials Used,Grain Products,2012,2,Corn and corn products,62631394,54002003,124491372,112877607
Pounds of Materials Used,Grain Products,2012,2,Rice and rice products,54333308,54297565,117901366,162868157
Pounds of Materials Used,Grain Products,2012,2,Barley and barley products,5493934,4869495,10926305,10155113
Pounds of Materials Used,Grain Products,2012,2,Wheat and wheat products,1358318,998978,2680046,2231289
Pounds of Materials Used,Total Grain products,2012,2,Total Grain products,444247648,421643251,892820023,918939873
Pounds of Materials Used,Non-Grain Products,2012,2,Sugar and syrups,65344809,63397161,128336218,137182696
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (dry),1366949,7629811,10951851,13703338
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (used as extracts),361152,275916,654640,572537
Pounds of Materials Used,Non-Grain Products,2012,2,Other,7134068,8143346,16235753,16320438
Pounds of Materials Used,Total Non-Grain products,2012,2,Total Non-Grain products,74206978,79446234,156178462,167779009
Pounds of Materials Used,Total Used,2012,2,Total Used,518454626,501089485,1048998485,1086718882
Pounds of Materials Used,Grain Products,2012,3,Malt and malt products,366122047,365470822,1009578654,996278529
Pounds of Materials Used,Grain Products,2012,3,Corn and corn products,62376094,60979980,186867466,173857587
Pounds of Materials Used,Grain Products,2012,3,Rice and rice products,59022797,62043120,176982238,224914647
Pounds of Materials Used,Grain Products,2012,3,Barley and barley products,15647530,13007288,27337434,23162401
Pounds of Materials Used,Grain Products,2012,3,Wheat and wheat products,2817135,5156353,5551157,7387642
Pounds of Materials Used,Total Grain products,2012,3,Total Grain products,505985603,506657563,1406316949,1425600806
Pounds of Materials Used,Non-Grain Products,2012,3,Sugar and syrups,79859286,75535061,208502522,212717757
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (dry),10288665,10797329,21369040,24500667
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (used as extracts),335010,358304,990107,930841
Pounds of Materials Used,Non-Grain Products,2012,3,Other,11713920,10781726,28047171,27102164
Pounds of Materials Used,Total Non-Grain products,2012,3,Total Non-Grain products,102196881,97472420,258908840,265251429
Pounds of Materials Used,Total Used,2012,3,Total Used,608182484,604129983,1665225789,1690852235
Pounds of Materials Used,Grain Products,2012,4,Malt and malt products,357106000,350632291,1371811277,1347043418
Pounds of Materials Used,Grain Products,2012,4,Corn and corn products,61313630,58634343,248184524,232491930
Pounds of Materials Used,Grain Products,2012,4,Rice and rice products,57264320,53392697,234475024,278307344
Pounds of Materials Used,Grain Products,2012,4,Barley and barley products,7634002,6176978,35997170,29387059
Pounds of Materials Used,Grain Products,2012,4,Wheat and wheat products,2001345,1892923,7697704,9563612
Pounds of Materials Used,Total Grain products,2012,4,Total Grain products,485319297,470729232,1898165699,1896793363
Pounds of Materials Used,Non-Grain Products,2012,4,Sugar and syrups,82481856,68304781,292062517,281027866
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (dry),11641934,9995292,33123667,34498385
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (used as extracts),338454,330339,1329131,1261180
Pounds of Materials Used,Non-Grain Products,2012,4,Other,9872076,10332065,37195769,37426741
Pounds of Materials Used,Total Non-Grain products,2012,4,Total Non-Grain products,104334320,88962477,363711084,354214172
Pounds of Materials Used,Total Used,2012,4,Total Used,589653617,559691709,2261876783,2251007535
Pounds of Materials Used,Grain Products,2012,5,Malt and malt products,373071360,353100730,1744882637,1700144148
Pounds of Materials Used,Grain Products,2012,5,Corn and corn products,66220273,50574451,314404797,283066381
Pounds of Materials Used,Grain Products,2012,5,Rice and rice products,61702673,62449812,296177697,340757156
Pounds of Materials Used,Grain Products,2012,5,Barley and barley products,7116069,6393541,43113239,35780600
Pounds of Materials Used,Grain Products,2012,5,Wheat and wheat products,2141313,1784974,9839017,11348586
Pounds of Materials Used,Total Grain products,2012,5,Total Grain products,510251688,474303508,2408417387,2371096871
Pounds of Materials Used,Non-Grain Products,2012,5,Sugar and syrups,87785168,66296984,379847685,347324850
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (dry),12583340,10156488,45707007,44654873
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (used as extracts),346461,438895,1675592,1700075
Pounds of Materials Used,Non-Grain Products,2012,5,Other,10260031,10803617,47455800,48230358
Pounds of Materials Used,Total Non-Grain products,2012,5,Total Non-Grain products,110975000,87695984,474686084,441910156
Pounds of Materials Used,Total Used,2012,5,Total Used,621226688,561999492,2883103471,2813007027
Pounds of Materials Used,Grain Products,2012,6,Malt and malt products,387306474,382627845,2132189111,2082771993
Pounds of Materials Used,Grain Products,2012,6,Corn and corn products,63113188,49417181,377517985,332483562
Pounds of Materials Used,Grain Products,2012,6,Rice and rice products,59527958,69708002,355705655,410468391
Pounds of Materials Used,Grain Products,2012,6,Barley and barley products,17104839,14997119,60218078,50777719
Pounds of Materials Used,Grain Products,2012,6,Wheat and wheat products,2947584,2654541,12786601,14003127
Pounds of Materials Used,Total Grain products,2012,6,Total Grain products,530000043,519404688,2938417430,2890504792
Pounds of Materials Used,Non-Grain Products,2012,6,Sugar and syrups,89443470,67274820,469291155,414599670
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (dry),12720422,10758127,58427429,55413000
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (used as extracts),474060,339374,2149652,2039449
Pounds of Materials Used,Non-Grain Products,2012,6,Other,11784212,12455007,59240012,60685365
Pounds of Materials Used,Total Non-Grain products,2012,6,Total Non-Grain products,114422164,90827328,589108248,532737484
Pounds of Materials Used,Total Used,2012,6,Total Used,644422207,610232016,3527525678,3423242276
Pounds of Materials Used,Grain Products,2012,7,Malt and malt products,363222892,351467408,2495455374,2434239401
Pounds of Materials Used,Grain Products,2012,7,Corn and corn products,62878256,47894955,440396241,380378517
Pounds of Materials Used,Grain Products,2012,7,Rice and rice products,60381322,69787386,416387427,480255777
Pounds of Materials Used,Grain Products,2012,7,Barley and barley products,9486054,6744178,69704132,57521897
Pounds of Materials Used,Grain Products,2012,7,Wheat and wheat products,2062199,1571775,14848800,15574902
Pounds of Materials Used,Total Grain products,2012,7,Total Grain products,498030723,477465702,3436791974,3367970494
Pounds of Materials Used,Non-Grain Products,2012,7,Sugar and syrups,92543919,62189365,561835567,476789035
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (dry),12188084,9636063,70616140,65049063
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (used as extracts),391852,333300,2541504,2372749
Pounds of Materials Used,Non-Grain Products,2012,7,Other,10558223,9961526,69802320,70646891
Pounds of Materials Used,Total Non-Grain products,2012,7,Total Non-Grain products,115682078,82120254,704795531,614857738
Pounds of Materials Used,Total Used,2012,7,Total Used,613712801,559585956,4141587505,3982828232
Pounds of Materials Used,Grain Products,2012,8,Malt and malt products,362799587,363072250,2861516025,2797402418
Pounds of Materials Used,Grain Products,2012,8,Corn and corn products,53320491,49105904,493716582,429484421
Pounds of Materials Used,Grain Products,2012,8,Rice and rice products,65214228,72428017,481602155,552683794
Pounds of Materials Used,Grain Products,2012,8,Barley and barley products,8622164,7610778,78447311,65132675
Pounds of Materials Used,Grain Products,2012,8,Wheat and wheat products,2286719,1690506,17167694,17265408
Pounds of Materials Used,Total Grain products,2012,8,Total Grain products,492243189,493907455,3932449767,3861968716
Pounds of Materials Used,Non-Grain Products,2012,8,Sugar and syrups,77156577,60020743,638996528,536809778
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (dry),10374025,7609273,81031064,72660073
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (used as extracts),472469,324174,3013973,2696923
Pounds of Materials Used,Non-Grain Products,2012,8,Other,10626133,9426213,80434301,80073104
Pounds of Materials Used,Total Non-Grain products,2012,8,Total Non-Grain products,98629204,77380403,803475866,692239878
Pounds of Materials Used,Total Used,2012,8,Total Used,590872393,571287858,4735925633,4554208594
Pounds of Materials Used,Grain Products,2012,9,Malt and malt products,336789908,316174474,3198706275,3113790323
Pounds of Materials Used,Grain Products,2012,9,Corn and corn products,50320517,47184013,544038171,476668434
Pounds of Materials Used,Grain Products,2012,9,Rice and rice products,62119884,55199197,543722039,607885884
Pounds of Materials Used,Grain Products,2012,9,Barley and barley products,16834020,34557083,95632721,99689758
Pounds of Materials Used,Grain Products,2012,9,Wheat and wheat products,2676324,2397458,19871889,19665916
Pounds of Materials Used,Total Grain products,2012,9,Total Grain products,468740653,455512225,4401971095,4317700315
Pounds of Materials Used,Non-Grain Products,2012,9,Sugar and syrups,65251144,61369571,704250177,598179633
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (dry),10180667,7645101,91226983,80307376
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (used as extracts),301893,299612,3315866,2996535
Pounds of Materials Used,Non-Grain Products,2012,9,Other,11155361,10127576,91721051,90200730
Pounds of Materials Used,Total Non-Grain products,2012,9,Total Non-Grain products,86889065,79441860,890514077,771684274
Pounds of Materials Used,Total Used,2012,9,Total Used,555629718,534954085,5292485172,5089384589
Pounds of Materials Used,Grain Products,2012,10,Malt and malt products,321542825,313742612,3510158822,3427666793
Pounds of Materials Used,Grain Products,2012,10,Corn and corn products,50852126,48091550,591761974,524759984
Pounds of Materials Used,Grain Products,2012,10,Rice and rice products,59885904,50351803,603837897,658237709
Pounds of Materials Used,Grain Products,2012,10,Barley and barley products,9353404,7733859,105883583,107427284
Pounds of Materials Used,Grain Products,2012,10,Wheat and wheat products,1762481,1542572,21677425,21210564
Pounds of Materials Used,Total Grain products,2012,10,Total Grain products,443396740,421462396,4833319701,4739302334
Pounds of Materials Used,Non-Grain Products,2012,10,Sugar and syrups,70185532,65484823,769380701,663664645
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (dry),9505007,7269967,100770829,87578226
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (used as extracts),309173,306580,3621699,3303115
Pounds of Materials Used,Non-Grain Products,2012,10,Other,10274692,9706496,102099596,99959413
Pounds of Materials Used,Total Non-Grain products,2012,10,Total Non-Grain products,90274404,82767866,975872825,854505399
Pounds of Materials Used,Total Used,2012,10,Total Used,533671144,504230262,5809192526,5593807733
Pounds of Materials Used,Grain Products,2012,11,Malt and malt products,295672895,303863556,3806333537,3731543767
Pounds of Materials Used,Grain Products,2012,11,Corn and corn products,44981825,53879230,636743799,578639214
Pounds of Materials Used,Grain Products,2012,11,Rice and rice products,61082730,43496310,664921077,701734019
Pounds of Materials Used,Grain Products,2012,11,Barley and barley products,7563555,6071240,113988430,113498524
Pounds of Materials Used,Grain Products,2012,11,Wheat and wheat products,1709859,1301413,23461660,22511977
Pounds of Materials Used,Total Grain products,2012,11,Total Grain products,411010864,408611749,5245448503,5147927501
Pounds of Materials Used,Non-Grain Products,2012,11,Sugar and syrups,64916501,55693438,834319750,719358083
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (dry),10621547,8468114,111411157,96047060
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (used as extracts),303256,290356,3925112,3593471
Pounds of Materials Used,Non-Grain Products,2012,11,Other,9681814,8545030,111831223,108658331
Pounds of Materials Used,Total Non-Grain products,2012,11,Total Non-Grain products,85523118,72996938,1061487242,927656945
Pounds of Materials Used,Total Used,2012,11,Total Used,496533982,481608687,6306935745,6075584446
Pounds of Materials Used,Grain Products,2012,12,Malt and malt products,299861553,296947972,4106758575,4028492092
Pounds of Materials Used,Grain Products,2012,12,Corn and corn products,43809820,50510647,680554131,629149861
Pounds of Materials Used,Grain Products,2012,12,Rice and rice products,51883289,46842712,716807617,748578581
Pounds of Materials Used,Grain Products,2012,12,Barley and barley products,14176754,14327681,128649934,127832365
Pounds of Materials Used,Grain Products,2012,12,Wheat and wheat products,1789996,1825143,25287736,24337120
Pounds of Materials Used,Total Grain products,2012,12,Total Grain products,411521412,410454155,5658057993,5558390019
Pounds of Materials Used,Non-Grain Products,2012,12,Sugar and syrups,59586860,52502259,893916021,771860342
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (dry),7808600,11679476,119240171,107726628
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (used as extracts),293877,238912,4219099,3832383
Pounds of Materials Used,Non-Grain Products,2012,12,Other,9358030,8397688,121203365,117056019
Pounds of Materials Used,Total Non-Grain products,2012,12,Total Non-Grain products,77047367,72818335,1138578656,1000475372
Pounds of Materials Used,Total Used,2012,12,Total Used,488568779,483272490,6796636649,6558865391
Pounds of Materials Used,Grain Products,2013,1,Malt and malt products,326450615,322367885,326450615,322367885
Pounds of Materials Used,Grain Products,2013,1,Corn and corn products,50597106,61859978,50597106,61859978
Pounds of Materials Used,Grain Products,2013,1,Rice and rice products,62177066,63568058,62177066,63568058
Pounds of Materials Used,Grain Products,2013,1,Barley and barley products,7749970,5830442,7749970,5830442
Pounds of Materials Used,Grain Products,2013,1,Wheat and wheat products,1537526,1345768,1537526,1345768
Pounds of Materials Used,Total Grain products,2013,1,Total Grain products,448512283,454972131,448512283,454972131
Pounds of Materials Used,Non-Grain Products,2013,1,Sugar and syrups,72878590,63306838,72878590,63306838
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (dry),9164708,9657602,9164708,9657602
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (used as extracts),323285,293488,323285,293488
Pounds of Materials Used,Non-Grain Products,2013,1,Other,10673797,9176359,10673797,9176359
